à,at; in; to; with
bijouterie (n.f.),jewellery shop (UK); jewelry shop (US)
bikini (n.m.),bikini
bilan (n.m.),result; report
bilan de santé (n.m.),check-up
bilingue,bilingual
billard (n.m.),billiards; pool; snooker
bille (n.f.),marble; billiard ball
billet (n.m.),ticket; note
billet de banque (n.m.),banknote; bank bill (US)
billet doux (n.m.),love letter
billion (n.m.),billion (UK); trillion (US)
biniou (n.m.),bagpipes
bio,natural; organic
biscuit (n.m.),cookie (US); biscuit (UK); cracker
bise (n.f.),kiss; North wind
bisou (n.m.),kiss
bit (n.m.),bit
bizarre,funny; bizarre; strange
blague (n.f.),joke
blanc (n.m.),white
blanc,white
blancheur (n.f.),whiteness
blanchiment (n.m.),money laundering
blanchir (v.),launder; whiten; clear; turn grey
blanchisseur (n.m.),laundress
blé (n.m.),wheat
blessé (n.m.),injured person
blessé,injured
blessure (n.f.),wound
bleu,blue [adjective]
bleu (n.m.),blue
bleu ciel,sky blue
bleu de travail (n.m.),overall; boiler suit
bleu-gris,blue and grey
bleu marine,navy blue
bloc-notes (n.m.),scratchpad; notepad
bloc opératoire (n.m.),surgical unit; operating theatre
blond,blonde; blond; fair-haired
bloquer (v.),jam; combine; block
blouse (n.f.),overall; blouse
blouson (n.m.),jacket
boa (n.m.),boa
bobsleigh (n.m.),bobsleigh (UK); bobsled (US)
boeuf (n.m.),beef; ox
boire (v.),drink
bois (n.m.),wood
boisé,wooded
boisson (n.f.),drink
boîte (n.f.),box; tin (UK); can (US)
boîte à gants (n.f.),glove box
boîte aux lettres (n.f.),letterbox (UK); mailbox (US)
boîte de nuit (n.f.),nightclub
boiteux,lame; wobbly; shaky
bol (n.m.),bowl
bolée (n.f.),little bowl
Bologne (n.pr.),Bologna
bombe (n.f.),bomb
bôme (n.f.),boom
bon (n.m.),gift voucher; order form
bon (adj),good [adjective]; kind [adjective]; fine [adjective];
bon (interjection),well  [interjection]
bon appétit,have a good meal
bon courage,good luck
bon marché,cheap; market; bargain; deal
bonbon (n.m.),sweet (UK); candy (US)
bondir (v.),leap; bound
bonheur (n.m.),happiness
bonhomme de neige (n.m.),snowman
bonjour,good morning; good afternoon; hello
bonne chance,good luck
bonnet (n.m.),hat; cap
bonnet de bain (n.m.),bathing cap
Bonnie and Clyde,Bonnie and Clyde
bonsoir,good evening
bonus (n.m.),no-claims bonus
bord (n.m.),side; edge; on the edge of; on the side of
bord de mer (n.m.),seaside
Bordeaux (n.pr.),Bordeaux
bordeaux (n.m.),claret; Bordeaux
bordeaux,burgundy
Bordelais (n.pr.),Bordeaux region
border (v.),edge; trim; hem; plank
border la voile,haul taut the sail
bordereau (n.m.),invoice; slip; schedule
bordure (n.f.),edge
borgne,one-eyed
borne (n.f.),marker; post; terminal
bosse (n.f.),bump
botte (n.f.) [végétal],bunch
botte (n.f.) [chaussure],boot
bouche (n.f.) [lèvres],mouth
bouche (n.f.) [ouverture],entrance; exit
bouché,blocked
bouche-à-bouche (n.m.),mouth-to-mouth resuscitation
bouche à oreille (n.m.),word of mouth
bouche de métro (n.f.),metro entrance; metro exit
bouchée à la reine (n.f.),vol-au-vent
boucher (n.m.),butcher
boucherie (n.f.),butcher's shop
boucherie-charcuterie (n.f.),butcher's shop
bouchon (n.m.) [bouteille],cork
bouchon (n.m.) [embouteillage],traffic jam; tailback
boucle (n.f.),buckle; earring; curl
boucler (v.),close
boue (n.f.),mud
bouée (n.f.),swimming float; buoy; life buoy
bouffée d'air (n.f.),gust of wind
Bouge de là,Bouge de là
bouger (v.),move
bougie (n.f.),candle
bouillabaisse (n.f.),bouillabaisse
bouillant,boiling; hot
bouilloire (n.f.),kettle
bouillonnant,foaming; bubbling
boulanger (n.m.),baker
boulangerie (n.f.),baker's shop; bakery
boulangerie-pâtisserie (n.f.),baker's shop; cake shop
boule (n.f.),ball
boule de neige (n.f.),snowball
boule lyonnaise (n.f.),bowls
boulet (n.m.),cannonball
boulevard (n.m.),boulevard; avenue
bouleverser (v.),affect; put into disorder; distress
boulier (n.m.),abacus
bouquet (n.m.),bunch; bouquet
bouquetin (n.m.),ibex
bouquiniste (double genre),second-hand bookseller
bourgeois,middle-class
bourgeon (n.m.),bud
Bourgogne (n.pr.f.),Burgundy
bourgogne (n.m.),Burgundy
bourrasque (n.f.),squall
Bourse (n.pr.f.),Stock Exchange
bourse (n.f.),purse; grant; loan; scholarship
boursier,stock-exchange
bousculer (v.),bump into; move
boussole (n.f.),compass
bout (n.m.),end
bouteille (n.f.),bottle
boutique (n.f.),shop (UK); store (US)
bouton (n.m.) [couture],button
bouton (n.m.) [dermatologie],spot
boxe (n.f.),boxing
bracelet (n.m.),bracelet
braise (n.f.),embers
brancard (n.m.),shaft; stretcher
branche (n.f.),branch; field
brandir (v.),brandish; hold up
bras (n.m.),arm
brasse (n.f.),breast-stroke
brasserie (n.f.),bar; pub
braver (v.),defy; brave
bravo,bravo; well done
brebis (n.f.),ewe
bref,brief
Brésil (n.pr.m.),Brazil
Brésilien (n.m.),Brazilian
brésilien,Brazilian
Brest (n.pr.),Brest
Bretagne (n.pr.f.),Brittany
bretelle (n.f.) [route],motorway link road; access road; slip road
bretelle (n.f.) [vêtement],braces (UK); suspenders (US)
breton,Breton
breton (n.m.),Breton [adjective]
bricolage (n.m.),DIY; do-it-yourself; makeshift job
bricoler (v.),do DIY (UK); fix things (US)
bricoleur (n.m.),handyman
briefing (n.m.),briefing
brièvement,briefly
Brigitte Bardot (n.pr.),Brigitte Bardot
brillant,brilliant
briller (v.),shine
brioche (n.f.),brioche; bun
brique (n.f.),brick
briser (v.),break
britannique,British person; Briton
brocante (n.f.),second-hand shop (UK); used goods store (US);
brocanteur (n.m.),dealer in second-hand goods; bric-a-brac trader
broche (n.f.),brooch; spit
brochette (n.f.),kebab; skewer
brochure (n.f.),brochure; leaflet; pamphlet
brocoli (n.m.),broccoli
broderie (n.f.),embroidery
bronzé,suntanned
bronzer (v.),get a tan; get brown; tan
brosse (n.f.),brush
brosse à dents (n.f.),toothbrush
brouhaha (n.m.),hubbub
brouillard (n.m.),fog
broyer (v.),grind; crush
bruine (n.f.),drizzle
bruit (n.m.),noise
bruit de fond (n.m.),background noise
brûlant,burning; (boiling) hot
brûlé (n.m.),burning; burnt part
brûler (v.),burn
brûlure (n.f.),burn
brun,brown; dark
brunir (v.),tan; get a tan
brutal,rough; brutal; violent
Bruxelles (n.pr.),Brussels
bruxellois,from Brussels
bûche (n.f.),Yule cake; log
bûcheron (n.m.),woodcutter; lumberjack
Buckingham Palace (n.pr.),Buckingham Palace
budget (n.m.),budget
buffet (n.m.),buffet
Buffon (n.pr.),Buffon
bulletin (n.m.),bulletin; newsletter; report
bureau (n.m.) [lieu],desk; office
bureau (n.m.) [meuble],desk
bureau de change (n.m.),foreign exchange office; bureau de change
bureau de poste (n.m.),post office
bureau de tabac (n.m.),tobacconist's
bureau de vote (n.m.),polling station
bureau d'étude (n.m.),design office
bureautique (n.f.),business related; office related
bus (n.m.),bus
but (n.m.),goal; objective; aim
butin (n.m.),haul; loot
butte (n.f.),mound; rise
ça,this; that
ça alors,gosh
ça m'est égal,I don't mind
ça m'étonnerait,I would be (very) surprised
ça ne fait rien,it doesn't matter; never mind
ça se comprend,that's understandable
ça va,that's right; that's it; fine; how are you
cabane (n.f.),cabin; kennel
cabaret (n.m.),cabaret
cabine (n.f.),cabin; booth
cabine de pilotage (n.f.),cockpit
cabine d'essayage (n.f.),fitting room; changing cubicle
cabine téléphonique (n.f.),phone box (UK); phone booth (
cabinet (n.m.),surgery (UK); office (US); cabinetinet
câble (n.m.),cable; lead
cabriolet (n.m.),convertible
cachalot (n.m.),sperm whale
cache-cache,hide and seek
cachemire (n.m.),cashmere
cacher (v.),hide
cachet (n.m.),tablet; pill
cacheter (v.),seal
cachette (n.f.),hiding-place
cachou (n.m.),cachou
caddie (n.m.),shopping trolley (UK); shopping cart
cadeau (n.m.),present; gift
cadre (n.m.),frame; manager
Caen (n.pr.),Caen
café (n.m.) [boisson],coffee [drink]
café (n.m.) [bar],café; pub
café au lait (n.m.),white coffee; coffee with milk
café Guerbois,café Guerbois
café-restaurant (n.m.),restaurant
cafétéria (n.f.),cafeteria
cafetière (n.f.),coffeepot
cageot (n.m.),crate
cahier (n.m.),notebook
caillou (n.m.),pebble; stone
caïman (n.m.),cayman
caisse (n.f.),checkout; purse-strings; cash register
caissier (n.m.),cashier
cajun,cajun
cake (n.m.),fruit-cake
Calais (n.pr.),Calais
calanque (n.f.),rocky inlet
calcul (n.m.),calculation
calculatrice (n.f.),calculator
calculer (v.),calculate
calèche (n.f.),carriage
caleçon (n.m.),boxer shorts; leggings
calendrier (n.m.),calendar; timetable; schedule
câlin,affectionate; cuddly
calme (n.m.),calmness; calm
calme,calm; quiet
calmement,calmly
calmer (v.),calm down; tone down; subdue
camarade (n.m.),friend
cambriolage (n.m.),burglary
cambrioler (v.),burgle (UK); burglarize (US)
cambrioleur (n.m.),burglar
camembert (n.m.),pie chart; Camembert
caméra (n.f.),camera
caméraman (n.m.),cameraman
camerounais,native or inhabitant of Cameroon
Camille Claudel (n.pr.),Camille Claudel
camion (n.m.),lorry (UK); truck (US)
camomille (n.f.),camomile
camouflage (n.m.),camouflage; disguise
campagne (n.f.),country; campaign
campement (n.m.),camp; encampment
camping (n.m.),camping
Canada (n.pr.m.),Canada
canadien,Canadian
canal (n.m.),canal; channel
canal de distribution (n.m.),distribution channel
canal de Panama,the Panama canal
canal de Suez,the Suez Canal
canal de Venise (n.m.),the Venice Canal
canapé (n.m.) [meuble],sofa
canapé (n.m.) [culinaire],canapé
canapé-lit (n.m.),sofa bed
canard (n.m.),duck
cancan (n.m.),cancan
candidat (n.m.),candidate
candidature (n.f.),candidature; application
canette (n.f.),bottle; can
canicule (n.f.),scorching heat; heatwave
canif (n.m.),penknife
canne (n.f.),walking stick
canne à pêche (n.f.),fishing rod
Cannes (n.pr.),Cannes
canoë (n.m.),canoe
canoë-kayak (n.m.),canoe-kayak; canoeing; canoe
canon (n.m.),cannon
canon à neige (n.m.),snow cannon
canoniser (v.),canonize
canot (n.m.),dinghy
cantal (n.m.),semi-hard cheese from the Auvergne
Cantorbéry (n.pr.),Canterbury
canyon (n.m.),canyon
caoutchouc (n.m.),rubber
capable,capable
capacité (n.f.),capacity
capitaine (n.m.),captain
capital (n.m.),capital; money
capitale (n.f.),capital
capot (n.m.),bonnet (UK); hood (US)
câpre (n.f.),caper
capter (v.),get; pick up; capture; take in
capuche (n.f.),hood
car (n.m.),bus
car,because; for
caractère (n.m.),character; nature
caractériser (v.),characterize
caractéristique (n.f.),characteristic; feature
caractéristique,characteristic [adjective]
carafe (n.f.),jug; pitcher
Caraïbes (n.pr.),Caribbean
carambolage (n.m.),collision; pile-up
caramel (n.m.),caramel
caraméliser (v.),to caramelize; coat with caramel
caravane (n.f.),caravan (UK); trailer (US)
carboniser (v.),burn to a cinder
carburant (n.m.),fuel
cardiaque,heart; cardiac
carême (n.m.),Lent
cargaison (n.f.),cargo
cargo (n.m.),freighter
carie (n.f.),tooth decay
carlingue (n.f.),cabin; keelson
carnaval (n.m.),carnival
carnet (n.m.),notebook; book
carnet d'adresses (n.m.),address book
carnet de chèques (n.m.),chequebook (UK); checkbook (US)
carnet de timbres (n.m.),book of stamps
carnivore,carnivorous
carotte (n.f.),carrot
carré,square
carreau (n.m.),square; check
carrefour (n.m.),crossroads
carrelage (n.m.),tiles
carrière (n.f.),career; quarry
carrosserie (n.f.),bodywork
cartable (n.m.),schoolbag
carte (n.f.) [géographie],map
carte (n.f.) [jeu],(playing) card
carte (n.f.) [électronique],card
carte (n.f.) [passe],ticket
carte (n.f.) [menu],menu
carte bleue (n.f.),credit card
carte de crédit (n.f.),credit card
carte de séjour (n.f.),resident's permit
carte de visite (n.f.),map; card; chart; business card
carte d'embarquement (n.f.),boarding pass
carte des vins (n.f.),wine list
carte d'identité (n.f.),identity card
carte électorale (n.f.),polling card (UK); voter registration card
carte grise (n.f.),car registration document; papers
carte mère (n.f.),motherboard
carte modem (n.f.),video card; graphic card
carte postale (n.f.),postcard
carte réseau (n.f.),network
carte son (n.f.),sound card
carte tuner TV (n.f.),TV tuner card
carte vidéo (n.f.),video card
carton (n.m.),cardboard; carton
cartouche (n.f.),carton of cigarettes
cas (n.m.),case
cas de figure (n.m.),scenario
cas par cas,case by case; individual negotiation
cascade (n.f.),waterfall
case (n.f.),space; box
caserne (n.f.),barracks
casier (n.m.),rack; pigeonhole; pot
casino (n.m.),casino
casque (n.m.),helmet; headphones
casquette (n.f.),cap
casser (v.),break
casserole (n.f.),saucepan
cassis (n.m.),blackcurrant; blackcurrant juice
cassole (n.f.),earthenware
cassoulet (n.m.),stew of haricot beans and meat
catalan (n.m.),Catalan
catalogue (n.m.),catalogue (UK); catalog (US)
catamaran (n.m.),catamaran
catastrophe (n.f.),disaster
catch (n.m.),wrestling
catégorie (n.f.),category
cathédrale (n.f.),cathedral
cathédrale de Burgos (n.f.),Burgos cathedral
cathédrale de Cologne (n.f.),Cologne cathedral
Catherine Briconnet (n.pr.),Catherine Briconnet
Catherine de Médicis (n.pr.),Catherine de Médicis
Catherine Deneuve (n.pr.),Catherine Deneuve
catholicisme (n.m.),Catholicism
catholique,Catholic
cauchemar (n.m.),nightmare
cauchemardesque,nightmarish
cause (n.f.),cause
causer (v.),cause; chat
caution (n.f.),deposit; guarantee
cave (n.f.),cellar; cave
caverne (n.f.),cave; cavern
CD audio (n.m.),CD audio
CD-audio (n.m.),CD-audio
CD-Rom (n.m.),CD-ROM drive
CDD (contrat à durée déterminée) (n.m.),fixed-term contract
ce,that; this; it
ce ne sont pas vos oignons,it's none of your business
ce n'est pas demain la veille,it's not going to happen over night
ce n'est pas donné,it's not cheap
ce n'est pas la peine,there is no need; it's not nececessary
ce que,what; which; that; this
ce qui,what; which
ceci,this; that; it
céder (v.),sell; give up; give way; give in
céder à,succumb to; give in
cédérom (n.m.),CD-ROM
ceinture (n.f.),belt; seat belt
ceinture de sécurité (n.f.),seat belt; safety belt
cela,that; this; it
cela ne fait rien,it doesn't matter; never mind
cela se comprend,be understandable; understand one another
cela va de soi,it goes without saying
célèbre,famous
célébrer (v.),celebrate
céleri (n.m.),celery
Céleste Mogador (n.pr.),Céleste Mogador
célibataire,single
cellophane (n.f.),cellophane
cellulaire,cellular; cellular phone
cellule (n.f.),cell; unit
celte,Celtic
celui,the one
celui-ci,this one
celui-là,that one
celui que,the one that
celui qui,the one who
cendres (n.f.pl.),ashes
cendrier (n.m.),ashtray
Cendrillon (n.pr.),Cinderella
censurer (v.),censure
cent,hundred
centaine (n.f.),hundred; about a hundred
centenaire (n.m.),centenary (UK); centennial (US)
centième,hundredth
centime (n.m.),centime; penny; cent (US)
centimètre (n.m.),centimetre (UK); centimeter
central,central; vital
Central Park (n.pr.),Central Park
centrale nucléaire (n.f.),nuclear power station; nuclear power plant
centre (n.m.),centre (UK); center (US);
centre aéré (n.m.),outdoor centre
centre commercial (n.m.),shopping centre
Centre National de la Bande Dessinée,National Comic Strip Centre
centre-ville (n.m.),town centre (UK); downtown
cependant,however; nevertheless
cercle (n.m.),circle
céréale (n.f.),cereal
cérémonie (n.f.),ceremony
cerf-volant (n.m.),kite
cerise (n.f.),cherry
certain,certain; sure; some
certainement,certainly; surely
certes,of course; certainly
certificat (n.m.),certificate; vaccination certificate
certitude (n.f.),certainty
cerveau (n.m.),brain
Césaire (n.pr.),Césaire
César (n.pr.) [artiste],Cesar
César (n.pr.m.) [récompense],French cinema award
Césars (n.m.pl.),French cinema awards
cesser (v.),stop
c'est bien connu,it's well known
c'est dommage,what a shame; what a pity
c'est donnant donnant,fair's fair
c'est la moindre des choses,it's the least I could do
c'est parti,here we go
c'est pourquoi,that's why
c'est tout un art,it's quite an art
cette fois,this time
chacun,each; everybody; everyone
chahuter (v.),cause an uproar; play up; heckle
